rowScope,modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,runCount,forecastCount,nonfiniteForecastCount,nonfiniteForecastFraction,oneStepPairCount,oneStepNonfiniteCount,oneStepLiftedRelativeError,oneStepInnovationRMSE,oneStepInnovationNormalizedRMSE,constantCoordinateRMSE,quadraticConsistencyRMSE,quadraticConsistencyRelativeError,consistencyNonfiniteCount
run,EDMD hybrid,nominal,nominal_seed_130108,8,130108,1,0.001,1,128,0,0,128,0,0.0569988178164186,0.000532063057775415,0.0460047873350164,0,0.0189047220818911,0.0528226891383674,0
run,EDMD hybrid,nominal,nominal_seed_130108,8,130108,20,0.02,1,128,0,0,128,0,0.0569988178164186,0.000532063057775415,0.0460047873350164,0,0.110841885915341,0.319840955891732,0
run,EDMD hybrid,nominal,nominal_seed_130108,8,130108,50,0.05,1,128,0,0,128,0,0.0569988178164186,0.000532063057775415,0.0460047873350164,0,0.189750059852795,0.513068727459831,0
run,EDMD hybrid,nominal,nominal_seed_130108,8,130108,100,0.1,1,128,0,0,128,0,0.0569988178164186,0.000532063057775415,0.0460047873350164,0,0.317811532299476,0.845341116529544,0
run,EDMD hybrid,nominal,nominal_seed_130108,8,130108,250,0.25,1,128,0,0,128,0,0.0569988178164186,0.000532063057775415,0.0460047873350164,0,0.611614742516823,1.34387637333654,0
run,Linear hybrid,nominal,nominal_seed_130109,9,130109,1,0.001,1,128,0,0,128,0,0.0401781368827187,0.000465873663740553,0.0402817269723239,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130109,9,130109,20,0.02,1,128,0,0,128,0,0.0401781368827187,0.000465873663740553,0.0402817269723239,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130109,9,130109,50,0.05,1,128,0,0,128,0,0.0401781368827187,0.000465873663740553,0.0402817269723239,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130109,9,130109,100,0.1,1,128,0,0,128,0,0.0401781368827187,0.000465873663740553,0.0402817269723239,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130109,9,130109,250,0.25,1,128,0,0,128,0,0.0401781368827187,0.000465873663740553,0.0402817269723239,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130109,9,130109,1,0.001,1,128,0,0,128,0,0.0521288382952753,0.000465124324889539,0.0402169354518847,0,0.0177283619921832,0.0509394039370258,0
run,EDMD hybrid,nominal,nominal_seed_130109,9,130109,20,0.02,1,128,0,0,128,0,0.0521288382952753,0.000465124324889539,0.0402169354518847,0,0.100007640518604,0.28853205334868,0
run,EDMD hybrid,nominal,nominal_seed_130109,9,130109,50,0.05,1,128,0,0,128,0,0.0521288382952753,0.000465124324889539,0.0402169354518847,0,0.185337495265895,0.511061770366602,0
run,EDMD hybrid,nominal,nominal_seed_130109,9,130109,100,0.1,1,128,0,0,128,0,0.0521288382952753,0.000465124324889539,0.0402169354518847,0,0.311939151262416,0.82465217757428,0
run,EDMD hybrid,nominal,nominal_seed_130109,9,130109,250,0.25,1,128,0,0,128,0,0.0521288382952753,0.000465124324889539,0.0402169354518847,0,0.598394675728523,1.38160624881029,0
run,Linear hybrid,nominal,nominal_seed_130110,10,130110,1,0.001,1,128,0,0,128,0,0.0497164947695606,0.000538238241590774,0.0465387240818523,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130110,10,130110,20,0.02,1,128,0,0,128,0,0.0497164947695606,0.000538238241590774,0.0465387240818523,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130110,10,130110,50,0.05,1,128,0,0,128,0,0.0497164947695606,0.000538238241590774,0.0465387240818523,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130110,10,130110,100,0.1,1,128,0,0,128,0,0.0497164947695606,0.000538238241590774,0.0465387240818523,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130110,10,130110,250,0.25,1,128,0,0,128,0,0.0497164947695606,0.000538238241590774,0.0465387240818523,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130110,10,130110,1,0.001,1,128,0,0,128,0,0.0553310372303642,0.000538021437744922,0.0465199781556392,0,0.0145402434616115,0.0443771510159079,0
run,EDMD hybrid,nominal,nominal_seed_130110,10,130110,20,0.02,1,128,0,0,128,0,0.0553310372303642,0.000538021437744922,0.0465199781556392,0,0.0939999000525033,0.287997672743365,0
run,EDMD hybrid,nominal,nominal_seed_130110,10,130110,50,0.05,1,128,0,0,128,0,0.0553310372303642,0.000538021437744922,0.0465199781556392,0,0.183904188747378,0.544297545286671,0
run,EDMD hybrid,nominal,nominal_seed_130110,10,130110,100,0.1,1,128,0,0,128,0,0.0553310372303642,0.000538021437744922,0.0465199781556392,0,0.316571154901077,0.890366671308626,0
run,EDMD hybrid,nominal,nominal_seed_130110,10,130110,250,0.25,1,128,0,0,128,0,0.0553310372303642,0.000538021437744922,0.0465199781556392,0,0.586903566727205,1.43933563587818,0
run,Linear hybrid,varied,varied_seed_130201,11,130201,1,0.001,1,128,0,0,128,0,0.0301841080141416,0.000543082014364949,0.0469575404855071,0,0,0,0
run,Linear hybrid,varied,varied_seed_130201,11,130201,20,0.02,1,128,0,0,128,0,0.0301841080141416,0.000543082014364949,0.0469575404855071,0,0,0,0
run,Linear hybrid,varied,varied_seed_130201,11,130201,50,0.05,1,128,0,0,128,0,0.0301841080141416,0.000543082014364949,0.0469575404855071,0,0,0,0
run,Linear hybrid,varied,varied_seed_130201,11,130201,100,0.1,1,128,0,0,128,0,0.0301841080141416,0.000543082014364949,0.0469575404855071,0,0,0,0
run,Linear hybrid,varied,varied_seed_130201,11,130201,250,0.25,1,128,0,0,128,0,0.0301841080141416,0.000543082014364949,0.0469575404855071,0,0,0,0
run,EDMD hybrid,varied,varied_seed_130201,11,130201,1,0.001,1,128,0,0,128,0,0.0413257902615788,0.000542220860744211,0.0468830809104514,0,0.0180995141171081,0.0271964850547512,0
run,EDMD hybrid,varied,varied_seed_130201,11,130201,20,0.02,1,128,0,0,128,0,0.0413257902615788,0.000542220860744211,0.0468830809104514,0,0.135787454572401,0.201775944103587,0
run,EDMD hybrid,varied,varied_seed_130201,11,130201,50,0.05,1,128,0,0,128,0,0.0413257902615788,0.000542220860744211,0.0468830809104514,0,0.259280703892551,0.372100574679159,0
run,EDMD hybrid,varied,varied_seed_130201,11,130201,100,0.1,1,128,0,0,128,0,0.0413257902615788,0.000542220860744211,0.0468830809104514,0,0.454544950904456,0.645515477405528,0
run,EDMD hybrid,varied,varied_seed_130201,11,130201,250,0.25,1,128,0,0,128,0,0.0413257902615788,0.000542220860744211,0.0468830809104514,0,0.788217614328195,1.08050463404504,0
run,Linear hybrid,varied,varied_seed_130202,12,130202,1,0.001,1,128,0,0,128,0,0.0262503357086228,0.00051088706201031,0.0441738066504072,0,0,0,0
run,Linear hybrid,varied,varied_seed_130202,12,130202,20,0.02,1,128,0,0,128,0,0.0262503357086228,0.00051088706201031,0.0441738066504072,0,0,0,0
run,Linear hybrid,varied,varied_seed_130202,12,130202,50,0.05,1,128,0,0,128,0,0.0262503357086228,0.00051088706201031,0.0441738066504072,0,0,0,0
run,Linear hybrid,varied,varied_seed_130202,12,130202,100,0.1,1,128,0,0,128,0,0.0262503357086228,0.00051088706201031,0.0441738066504072,0,0,0,0
run,Linear hybrid,varied,varied_seed_130202,12,130202,250,0.25,1,128,0,0,128,0,0.0262503357086228,0.00051088706201031,0.0441738066504072,0,0,0,0
run,EDMD hybrid,varied,varied_seed_130202,12,130202,1,0.001,1,128,0,0,128,0,0.0374713047242037,0.000510519923828132,0.0441420620785058,0,0.0186156825129637,0.0243123160893262,0
run,EDMD hybrid,varied,varied_seed_130202,12,130202,20,0.02,1,128,0,0,128,0,0.0374713047242037,0.000510519923828132,0.0441420620785058,0,0.182993389987124,0.258580841414886,0
run,EDMD hybrid,varied,varied_seed_130202,12,130202,50,0.05,1,128,0,0,128,0,0.0374713047242037,0.000510519923828132,0.0441420620785058,0,0.367153925044733,0.569634539406108,0
