Case,Comparison,Signal,MaxAbsoluteDifference,ReferencePeakAbsolute,Limit,Pass,PeakAbsoluteDifference,RMSDifference
holdout_load4ohm,native_0.5_to_0.125ns,lowGateCurrent_A,0.000655805359713046,0.426486577267809,0.01,1,0.000147630555303147,1.33810328543991e-05
holdout_load4ohm,native_0.5_to_0.125ns,loadCurrent_A,4.431385125514e-08,5.92433679959518,0.0592433679959518,1,3.67172958704032e-12,1.36315135115297e-08
holdout_load4ohm,native_0.5_to_0.125ns,feedCurrent_A,0.000346458577697328,5.92433745850238,0.0592433745850239,1,4.6436694489671e-09,0.000142241318281061
holdout_load4ohm,native_0.25_to_0.125ns,switch_V,0.0201679137077182,24.1809362445345,0.241809362445345,1,0.000217905148119257,0.000246360549873943
holdout_load4ohm,native_0.25_to_0.125ns,bus_V,0.000136557777857149,24.0349365880841,0.240349365880841,1,1.04585140547897e-09,4.83971309670447e-06
holdout_load4ohm,native_0.25_to_0.125ns,highVgs_V,0.00232069900369147,11.9999967003629,0.119999967003629,1,1.13686837721616e-13,2.80470937413672e-05
holdout_load4ohm,native_0.25_to_0.125ns,lowVgs_V,0.00420041514863234,11.99998702749,0.1199998702749,1,6.85727030713679e-11,6.75748580706235e-05
holdout_load4ohm,native_0.25_to_0.125ns,highVds_V,0.0201221592434599,25.430569080959,0.25430569080959,1,0.000104249656001087,0.000246089038480578
holdout_load4ohm,native_0.25_to_0.125ns,lowVds_V,0.0201679137077182,24.1809362445345,0.241809362445345,1,0.000217905148119257,0.000246360549873943
holdout_load4ohm,native_0.25_to_0.125ns,highCurrent_A,0.013797582865875,12.0572811580484,0.120572811580484,1,0.00420537763496398,0.000432838344648207
holdout_load4ohm,native_0.25_to_0.125ns,lowCurrent_A,0.0137975929437077,6.17413488531749,0.0617413488531749,1,0.000417107600360289,0.000432838532488776
holdout_load4ohm,native_0.25_to_0.125ns,highGateCurrent_A,9.28279601477566e-05,0.398148465184638,0.01,1,1.23376611649295e-07,1.12188374965525e-06
holdout_load4ohm,native_0.25_to_0.125ns,lowGateCurrent_A,0.000168016605945273,0.426486577267809,0.01,1,3.57768274836801e-05,2.70299432282502e-06
holdout_load4ohm,native_0.25_to_0.125ns,loadCurrent_A,1.00778310141436e-08,5.92433679959518,0.0592433679959518,1,8.78408457083424e-13,2.82915189095702e-09
holdout_load4ohm,native_0.25_to_0.125ns,feedCurrent_A,7.736615920928e-05,5.92433745850238,0.0592433745850239,1,7.32511828971383e-10,3.1763094621356e-05
holdout_load4ohm,spice_0.25_to_0.125ns,switch_V,0.010175843990746,24.1810097609769,0.241810097609769,1,0.000289402304694875,0.000111789970633837
holdout_load4ohm,spice_0.25_to_0.125ns,bus_V,8.19783278132036e-05,24.0349365881907,0.240349365881907,1,8.57500737083683e-10,2.54515372392224e-06
holdout_load4ohm,spice_0.25_to_0.125ns,highVgs_V,0.000693284395426375,11.9999966977506,0.119999966977506,1,1.57847068749106e-11,6.49339092974415e-06
holdout_load4ohm,spice_0.25_to_0.125ns,lowVgs_V,0.00212030045712686,11.9999870265733,0.119999870265733,1,2.17781348510471e-11,2.51030925740655e-05
holdout_load4ohm,spice_0.25_to_0.125ns,highVds_V,0.010166434639622,25.4307349631908,0.254307349631908,1,0.000106461297630034,0.000111674331003111
holdout_load4ohm,spice_0.25_to_0.125ns,lowVds_V,0.0101758439907567,24.1810097610011,0.241810097610011,1,0.000289402304694875,0.000111789970633952
holdout_load4ohm,spice_0.25_to_0.125ns,highCurrent_A,0.00834585448253833,12.0561940535845,0.120561940535845,1,0.00450989151239511,0.000221620701655971
holdout_load4ohm,spice_0.25_to_0.125ns,lowCurrent_A,0.00834585977077307,6.17400876923507,0.0617400876923507,1,0.000495587844604017,0.000221620823237305
holdout_load4ohm,spice_0.25_to_0.125ns,highGateCurrent_A,2.77313758924036e-05,0.398133929292413,0.01,1,2.46703750628186e-06,2.59735641503535e-07
holdout_load4ohm,spice_0.25_to_0.125ns,lowGateCurrent_A,8.48120182871115e-05,0.426466621488765,0.01,1,2.90661819113414e-06,1.00412370298677e-06
holdout_load4ohm,spice_0.25_to_0.125ns,loadCurrent_A,5.45832978815497e-09,5.92433680038269,0.0592433680038269,1,1.99840144432528e-13,2.49964344546527e-09
holdout_load4ohm,spice_0.25_to_0.125ns,feedCurrent_A,4.42440296359869e-05,5.92433745954776,0.0592433745954776,1,7.51395390352627e-10,1.82100385562134e-05
holdout_load4ohm,native_to_original_spice_0.125ns,switch_V,0.00483234077351591,24.1810097609769,0.241810097609769,1,7.35164424838786e-05,4.13897745050898e-05
