Fixture,Mechanism,Step_s,Duration_s,NetTravel_deg,AbsoluteTravel_deg,CaptureTime_s,TailHeld,TailDrift_deg,FinalVelocity_rad_s,PeakCurrent_A,LoadWork_J,CopperLoss_J,ResistorLoss_J,ViscousLoss_J,BrakeLoss_J,NumericalLoss_J,NumericalLossFraction,MaxEnergyResidual_J,MaxCapacityExcess_Nm
engaged_load_reversal,mechanical,2.5e-05,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
below_capacity,terminal_short,0.0001,0.6,-179.910127825057,179.910127825057,NaN,0,31.3193493921259,-5.46625766839983,0.364417177891462,0.0932587154204639,0.0891686851653101,0,0.00167838277666781,0,4.64966175921886e-06,4.98576646510249e-05,1.74860126378462e-15,0
below_capacity,terminal_short,5e-05,0.6,-179.910127825023,179.910127825023,NaN,0,31.319349392554,-5.46625766840623,0.364417177891931,0.0932587154204463,0.0891709699727235,0,0.00167842043205978,0,2.32719891908689e-06,2.49542244775191e-05,9.78384040450919e-15,0
below_capacity,terminal_short,2.5e-05,0.6,-179.910127825035,179.910127825035,NaN,0,31.319349392771,-5.46625766841034,0.364417177892226,0.0932587154204523,0.0891721141232085,0,0.00167843928746884,0,1.16419303770152e-06,1.2483477093297e-05,7.21644966006352e-16,0
below_capacity,resistor,0.0001,0.6,-336.311007447879,336.311007447879,NaN,0,61.5043596448217,-10.7348027200108,0.35782666609311,0.17433111140274,0.0797628793531559,0.0797628793531559,0.00599434576666146,0,8.25781823489498e-06,4.73685859537587e-05,6.63358257213531e-15,0
below_capacity,resistor,5e-05,0.6,-336.311005243681,336.311005243681,NaN,0,61.5043694615948,-10.7348034432212,0.357826690681638,0.174331110260167,0.0797648697262458,0.0797648697262458,0.00599448963207727,0,4.13087751782259e-06,2.36955842916264e-05,3.03923552991137e-14,0
below_capacity,resistor,2.5e-05,0.6,-336.311004145026,336.311004145026,NaN,0,61.5043743591191,-10.7348038037364,0.357826702938843,0.174331109690663,0.0797658656270059,0.0797658656270059,0.00599456161563998,0,2.0659315032807e-06,1.18506186701074e-05,1.58206781009085e-14,0
below_capacity,mechanical,0.0001,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
below_capacity,mechanical,5e-05,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
below_capacity,mechanical,2.5e-05,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
at_capacity,terminal_short,0.0001,0.6,-181.727401843488,181.727401843488,NaN,0,31.635706456692,-5.52147239232294,0.368098159486317,0.0951522450979104,0.0909791706614704,0,0.00171246074550326,0,4.74406872688382e-06,4.98576646510257e-05,5.96744875736022e-16,0
at_capacity,terminal_short,5e-05,0.6,-181.727401843472,181.727401843472,NaN,0,31.6357064571283,-5.52147239233006,0.368098159486835,0.095152245097902,0.0909815018597463,0,0.00171249916545256,0,2.37445048371272e-06,2.49542244775165e-05,2.72004641033163e-15,0
at_capacity,terminal_short,2.5e-05,0.6,-181.727401843488,181.727401843488,NaN,0,31.635706457348,-5.52147239233421,0.368098159487133,0.0951522450979093,0.0909826692411227,0,0.00171251840370283,0,1.18783087205553e-06,1.2483477093297e-05,8.72912853111529e-15,0
at_capacity,resistor,0.0001,0.6,-339.708088331206,339.708088331206,NaN,0,62.1256158028561,-10.843235070719,0.361441076861763,0.177870739111058,0.0813823888921163,0.0813823888921163,0.00611605526646467,0,8.42548539424026e-06,4.7368585953756e-05,2.91433543964104e-15,0
at_capacity,resistor,5e-05,0.6,-339.708086104759,339.708086104759,NaN,0,62.1256257187884,-10.8432358012345,0.361441101698659,0.177870737945294,0.0813844196778492,0.0813844196778492,0.00611620205293172,0,4.2147510639965e-06,2.36955842916265e-05,1.50712775592865e-14,0
at_capacity,resistor,2.5e-05,0.6,-339.708084994965,339.708084994965,NaN,0,62.1256306657671,-10.8432361653888,0.361441114079588,0.177870737364205,0.0813854357994091,0.0813854357994091,0.00611627549805079,0,2.10787828107441e-06,1.18506186701096e-05,8.49320613838245e-15,0
at_capacity,mechanical,0.0001,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
at_capacity,mechanical,5e-05,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
at_capacity,mechanical,2.5e-05,0.6,0,0,0,1,0,-0,0,0,0,0,0,0,0,0,0,0
above_capacity,terminal_short,0.0001,0.6,-183.544675861929,183.544675861929,NaN,0,31.95206352126,-5.57668711624636,0.371779141081193,0.0970648052243817,0.0928078519917715,0,0.00174688120648798,0,4.83942450829421e-06,4.98576646510242e-05,3.01147995429574e-15,0
above_capacity,terminal_short,5e-05,0.6,-183.544675861905,183.544675861905,NaN,0,31.9520635216992,-5.57668711625321,0.371779141081693,0.0970648052243677,0.0928102300471243,0,0.0017469203986781,0,2.42217693843545e-06,2.49542244775181e-05,3.77475828372553e-15,0
above_capacity,terminal_short,2.5e-05,0.6,-183.544675861901,183.544675861901,NaN,0,31.9520635219169,-5.5766871162568,0.371779141081954,0.0970648052243661,0.0928114208928466,0,0.00174694002361683,0,1.21170627258382e-06,1.24834770932981e-05,3.73312492030209e-15,0
above_capacity,resistor,0.0001,0.6,-343.105169214517,343.105169214517,NaN,0,62.7468719608822,-10.9516674214259,0.365055487630372,0.18144594096719,0.0830181749088471,0.0830181749088471,0.00623898797732056,0,8.59483765066475e-06,4.73685859537575e-05,1.19348975147204e-15,0
above_capacity,resistor,5e-05,0.6,-343.105166965774,343.105166965774,NaN,0,62.7468819759682,-10.9516681592454,0.365055512715596,0.181445939777977,0.0830202465133576,0.0830202465133576,0.00623913771419441,0,4.29946756038277e-06,2.36955842916283e-05,3.50552920025393e-14,0
above_capacity,resistor,2.5e-05,0.6,-343.105165844867,343.105165844867,NaN,0,62.7468869724144,-10.9516685270412,0.365055525220333,0.181445939185203,0.0830212830589553,0.0830212830589553,0.00623921263555995,0,2.15024663452365e-06,1.18506186701091e-05,1.67643676718399e-14,0
