Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Grid,FirstParameter,SecondParameter,FirstValue,SecondValue
physical_only,0.235967460277377,0.343438899756984,0.149539739666349,0,1.2471048705226,0.0563544574553542,0.0785028146598498,1.21384778834746,0,0,13262911.9243246,0.0250000000000001,0,0,0,0,0.232051229786454,0.0243414031831693,0.01,1,ground_conversion,angle_sensitivity,0.2,15.4624747355496
physical_only,0.348938683880941,0.507862895730875,0.22113303201105,0,1.84416585096166,0.0833345843201499,0.0785028146598498,1.79498668672319,0,0,13262911.9243246,0.032,0,0,0,0,0.396475225760345,0.0512859638285685,0.01,1,ground_conversion,angle_sensitivity,0.2,22.8652525963663
physical_only,0.51599574350398,0.751006135422217,0.327002159797118,0,2.72707433531871,0.123231652958668,0.0785028146598498,2.65435027063808,0,0,13262911.9243246,0.038,0,0,0,0,0.639618465451687,0.0911830324670862,0.01,1,ground_conversion,angle_sensitivity,0.2,33.8121668903121
physical_only,0.763032646174217,1.11055605791038,0.483556940993963,0,4.03268199900569,0.182229747886962,0.0785028146598498,3.92514073299249,0,0,13262911.9243246,0.0430000000000001,0,0,0,0,0.99916838793985,0.15018112739538,0.01,1,ground_conversion,angle_sensitivity,0.2,50
physical_only,0.0190455091326864,0.0277472982387694,0.0120859548025212,0,0.0861558936260861,0.00386446141202909,0.0835028146598498,0.0835028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0836505164317717,0.0281841590795523,0.015,1,ground_conversion,angle_sensitivity,0.25,1
physical_only,0.0281636920734627,0.0410315291664166,0.0178721979601791,0,0.127403685640152,0.00571460182449495,0.0835028146598498,0.123480424858212,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0703703737805819,0.0263340186670865,0.015,1,ground_conversion,angle_sensitivity,0.25,1.47875763662831
physical_only,0.0416472747292627,0.0606756870973714,0.0264286492169486,0,0.188399173074978,0.00845051108826236,0.0835028146598498,0.182597621233189,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0507322614196586,0.0235981094033191,0.015,1,ground_conversion,angle_sensitivity,0.25,2.18672414788656
physical_only,0.0615862255506424,0.0897246356529018,0.0390815668553719,0,0.27859671591904,0.0124962578051781,0.0835028146598498,0.270017626828743,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0216922527969842,0.0195523626864033,0.015,1,ground_conversion,angle_sensitivity,0.25,3.23363503288679
physical_only,0.0910711013441522,0.132680990165427,0.0577921654387651,0,0.411977021204884,0.0184789366586848,0.0835028146598498,0.399290627697258,0,0,13262911.9243246,0.00500000000000012,0,0,0,0,0.0219541334495822,0.0155188973774995,0.015,1,ground_conversion,angle_sensitivity,0.25,4.78176249895018
physical_only,0.134672086588801,0.196203027442499,0.0854606059798695,0,0.609214166222082,0.0273258687008003,0.0835028146598498,0.590454064941433,0,0,13262911.9243246,0.014,0,0,0,0,0.0851702974651223,0.0115910643373017,0.015,1,ground_conversion,angle_sensitivity,0.25,7.07106781186547
