Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Parameter,Value,NominalValue,Unit,Role
combined_phase2b,0.0633526453165625,0.127091139341936,0.0441779513040706,0,0.463434196275859,0.0216451027145537,0.044632785986895,0.44632785986895,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.106638893596431,0.0153007216847629,0.02426285542866,current_rise,400,200,ns,response
physical_only,0.0763285226909698,0.111042321059366,0.0483899035333678,0,0.387134608617972,0.0175621342157278,0.0378395684468719,0.378395684468719,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00551542445268146,0.0150632110307473,0.0313692812527657,current_rise,565.685424949238,200,ns,response
combined_phase2b,0.0685728850659134,0.127217997879508,0.0463364197315484,0,0.371980892676633,0.0173681880152819,0.0378395684468719,0.378395684468719,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.137872702392518,0.01978219930918,0.0313692812527657,current_rise,565.685424949238,200,ns,response
physical_only,0.076235141733326,0.11099294899592,0.0483858723847297,0,0.337579182674406,0.0153365239821458,0.0330360382582464,0.330360382582464,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00639893268725951,0.017476166026191,0.03639428314299,current_rise,800,200,ns,response
combined_phase2b,0.0731299680141691,0.128325180409074,0.0478626873935674,0,0.329098380310711,0.0150860648431503,0.0330360382582464,0.330360382582464,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.159958340394599,0.0229510825271438,0.03639428314299,current_rise,800,200,ns,response
physical_only,0.0768205168446764,0.111371172672563,0.0483768548743729,0,0.671130712807906,0.0308239330418387,0.0664216387883294,0.664216387883294,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000946847351228671,0.00207964571688428,0.00431147546556845,voltage_step,6,24,V,response
combined_phase2b,0.0583560956320345,0.127659211648158,0.0357967835519697,0,0.78568008806393,0.0349465109187415,0.0664216387883294,0.664216387883294,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0107242052667267,0.00227734928709291,0.00431147546556845,voltage_step,6,24,V,response
physical_only,0.0768313458433952,0.11137280502277,0.0483806359840992,0,0.673640057270346,0.0309451116008964,0.0666275638946136,0.666275638946136,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000853160102546655,0.00187387201407403,0.00388486997987241,voltage_step,7.78103732790606,24,V,response
combined_phase2b,0.0585488666685188,0.127696415321688,0.0358968873064607,0,0.788067316999732,0.0350300523423501,0.0666275638946136,0.666275638946136,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00966308249494004,0.0020520135043712,0.00388486997987241,voltage_step,7.78103732790606,24,V,response
physical_only,0.0768454032023833,0.111374921919047,0.0483855394767454,0,0.676894274425412,0.0311022607494549,0.0668946157177386,0.668946157177386,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000731662772682593,0.00160701653696176,0.0033316311117907,voltage_step,10.0907569830446,24,V,response
combined_phase2b,0.0588010722411048,0.127744662517062,0.0360267058148176,0,0.791163169909647,0.0351383921649365,0.0668946157177386,0.668946157177386,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00828697651215148,0.00175978914825976,0.0033316311117907,voltage_step,10.0907569830446,24,V,response
physical_only,0.0768636566803557,0.111377667193917,0.0483918985199692,0,0.681114471951541,0.0313060579812864,0.0672409390851089,0.672409390851089,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000574100229473553,0.00126094779886698,0.00261416906449197,voltage_step,13.0860927919831,24,V,response
combined_phase2b,0.0591318145632016,0.127807231388486,0.0361950595913716,0,0.795177994418615,0.0352788915322102,0.0672409390851089,0.672409390851089,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00650238784228029,0.00138082104442159,0.00261416906449197,voltage_step,13.0860927919831,24,V,response
physical_only,0.07688736773501,0.111381227374937,0.04840014517874,0,0.686587391031901,0.0315703502926551,0.0676900649266145,0.676900649266145,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000369766891212407,0.000812152170679032,0.0016837359025941,voltage_step,16.9705627484771,24,V,response
combined_phase2b,0.0595668047246187,0.127888373175778,0.0364133874279646,0,0.800384577646787,0.0354955905330607,0.0676900649266145,0.676900649266145,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00418806266639395,0.000889360217412656,0.0016837359025941,voltage_step,16.9705627484771,24,V,response
physical_only,0.0769181830701301,0.111385916757616,0.0484108397720315,0,0.693684888974691,0.0319130950160266,0.0682725090828949,0.682725090828949,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000104779335827731,0.000230136248090707,0.000477113375285922,voltage_step,22.0080970369121,24,V,response
combined_phase2b,0.0601408993759859,0.127993601055067,0.0366965236024077,0,0.807136680721656,0.0360343648859069,0.0682725090828949,0.682725090828949,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00118675423600058,0.000252014377387328,0.000477113375285922,voltage_step,22.0080970369121,24,V,response
physical_only,0.0769303883452085,0.111389275325914,0.0484150685456752,0,0.696491326881247,0.0320486204915814,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0,0,0,voltage_step,24,24,V,response
combined_phase2b,0.0603709493209783,0.12803520945169,0.0368084791251533,0,0.809806545252975,0.0362474028859342,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0,0,0,voltage_step,24,24,V,response
