modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Weighted EDMD hybrid,nominal,nominal_seed_230104,4,230104,100,0.1,128,0.000104370099997932,0.000491640423294406,0.000104370099997932,0.000531783842137479,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230104,4,230104,250,0.25,128,0.000104708457142846,0.000472578620062664,0.000104708457142846,0.00053329286514292,0,0,0
Nominal physics,nominal,nominal_seed_230105,5,230105,1,0.001,128,0.000150290596087972,0.000481964559095939,0.000150290596087972,0.000498991865784559,0,0,0
Nominal physics,nominal,nominal_seed_230105,5,230105,20,0.02,128,0.000123489559497422,0.000445456083961322,0.000123489559497422,0.000462475102577881,0,0,0
Nominal physics,nominal,nominal_seed_230105,5,230105,50,0.05,128,0.000129913100503761,0.00048253394924559,0.000129913100503761,0.000484665070605211,0,0,0
Nominal physics,nominal,nominal_seed_230105,5,230105,100,0.1,128,0.000132398761091067,0.000443501094035013,0.000132398761091067,0.000493116803570011,0,0,0
Nominal physics,nominal,nominal_seed_230105,5,230105,250,0.25,128,0.000132802532492342,0.000452939927635433,0.000132802532492342,0.000494482523842321,0,0,0
Persistent innovation,nominal,nominal_seed_230105,5,230105,1,0.001,128,0.000232995162798197,0.000516552783087096,0.000146879335486681,0.000909363270402808,0,0,0
Persistent innovation,nominal,nominal_seed_230105,5,230105,20,0.02,128,0.000320346039331128,0.000517748077571074,0.000158815822840472,0.00108674501062589,0,0,0
Persistent innovation,nominal,nominal_seed_230105,5,230105,50,0.05,128,0.000572902055058217,0.000719109700800607,0.000398180378212721,0.00205508750266236,0,0,0
Persistent innovation,nominal,nominal_seed_230105,5,230105,100,0.1,128,0.00101271082114551,0.00113386302449715,0.000835279719484523,0.00374031474210659,0,0,0
Persistent innovation,nominal,nominal_seed_230105,5,230105,250,0.25,128,0.00235043577030417,0.00227403323449308,0.00217215718709007,0.00884242575475652,0,0,0
Linear hybrid,nominal,nominal_seed_230105,5,230105,1,0.001,128,0.000269950316822093,0.000488321891238677,0.000205682017311374,0.000752737210510612,0,0,0
Linear hybrid,nominal,nominal_seed_230105,5,230105,20,0.02,128,0.000906175868401596,0.00101282385358384,0.000195349792573822,0.00240218614812157,0,0,0
Linear hybrid,nominal,nominal_seed_230105,5,230105,50,0.05,128,0.00318444133130444,0.00314234044524006,0.0013214848603031,0.0079505766433266,0,0,0
Linear hybrid,nominal,nominal_seed_230105,5,230105,100,0.1,128,0.0100780282579454,0.0100587171223127,0.00671430276119248,0.0258659815242396,0,0,0
Linear hybrid,nominal,nominal_seed_230105,5,230105,250,0.25,128,0.0445880026557466,0.044538615360038,0.0395267139393603,0.117151543800537,0,0,0
EDMD hybrid,nominal,nominal_seed_230105,5,230105,1,0.001,128,0.00027014796286333,0.000488184899581628,0.000205456895375336,0.000747136045339658,0,0,0
EDMD hybrid,nominal,nominal_seed_230105,5,230105,20,0.02,128,0.000929313199160458,0.00103342211020227,0.000196184967630856,0.00251846559853935,0,0,0
EDMD hybrid,nominal,nominal_seed_230105,5,230105,50,0.05,128,0.00329179924222912,0.003248875803282,0.00135877224471174,0.00926262570242387,0,0,0
EDMD hybrid,nominal,nominal_seed_230105,5,230105,100,0.1,128,0.010417603317304,0.0104031752007413,0.00694507965390209,0.029526975506564,0,0,0
EDMD hybrid,nominal,nominal_seed_230105,5,230105,250,0.25,128,0.0457594975379262,0.0457151930875643,0.0406020149771535,0.122101366531085,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230105,5,230105,1,0.001,128,0.000159710064069798,0.000492739350196082,0.000152831257823977,0.000498991865784559,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230105,5,230105,20,0.02,128,0.000196703619670244,0.000475246663268644,0.000129122685441416,0.000948842791171169,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230105,5,230105,50,0.05,128,0.000405375168015512,0.000620469069919771,0.000240777458224533,0.00256183986380176,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230105,5,230105,100,0.1,128,0.00106153416781014,0.0010376536730976,0.00073618931140466,0.00672538284519728,0,0,0
Weighted linear hybrid,nominal,nominal_seed_230105,5,230105,250,0.25,128,0.00432000386597228,0.00434506206111392,0.00392572862339355,0.0241076052607411,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230105,5,230105,1,0.001,128,0.000159534545176787,0.000492680241288374,0.00015283933465059,0.000498991865784559,0,0,0
Weighted EDMD hybrid,nominal,nominal_seed_230105,5,230105,20,0.02,128,0.000191364242826957,0.000475507386594507,0.000129258326783454,0.000895030808447508,0,0,0
