modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
EDMD hybrid,nominal,nominal_seed_130106,6,130106,20,0.02,128,0.00107696775354709,0.00117693446432716,0.000184400370693902,0.00297953372833198,0,0,0
EDMD hybrid,nominal,nominal_seed_130106,6,130106,50,0.05,128,0.00390890926385813,0.00396035328557896,0.00158265694387852,0.0109178600190162,0,0,0
EDMD hybrid,nominal,nominal_seed_130106,6,130106,100,0.1,128,0.0124578621638126,0.0124619755914516,0.00827341823165144,0.0335404657326256,0,0,0
EDMD hybrid,nominal,nominal_seed_130106,6,130106,250,0.25,128,0.0566594634138979,0.0566738974834517,0.0499289492023356,0.134678917801763,0,0,0
Nominal physics,nominal,nominal_seed_130107,7,130107,1,0.001,128,0.000117033637325839,0.000448369205835298,0.000117033637325839,0.000476949310770663,0,0,0
Nominal physics,nominal,nominal_seed_130107,7,130107,20,0.02,128,0.000101639753818913,0.000473121974485696,0.000101639753818913,0.000331395622773012,0,0,0
Nominal physics,nominal,nominal_seed_130107,7,130107,50,0.05,128,0.000106542662118248,0.000471121764003381,0.000106542662118248,0.000346963375218057,0,0,0
Nominal physics,nominal,nominal_seed_130107,7,130107,100,0.1,128,0.000108440567567511,0.000480829974860812,0.000108440567567511,0.000352876279989645,0,0,0
Nominal physics,nominal,nominal_seed_130107,7,130107,250,0.25,128,0.00010874892886032,0.000449684716375602,0.00010874892886032,0.000353831798726278,0,0,0
Persistent innovation,nominal,nominal_seed_130107,7,130107,1,0.001,128,0.000183775120744659,0.000476141318048954,0.000113333323764516,0.000582605761525343,0,0,0
Persistent innovation,nominal,nominal_seed_130107,7,130107,20,0.02,128,0.00024930522133927,0.000505684564239427,0.000127450883275887,0.000745788131680789,0,0,0
Persistent innovation,nominal,nominal_seed_130107,7,130107,50,0.05,128,0.000442762546311367,0.000687932836886615,0.000308839826270702,0.00131142484614636,0,0,0
Persistent innovation,nominal,nominal_seed_130107,7,130107,100,0.1,128,0.000780897394631343,0.000891434680339873,0.000644408405077913,0.00227611735100919,0,0,0
Persistent innovation,nominal,nominal_seed_130107,7,130107,250,0.25,128,0.00181084734149975,0.00183454565095103,0.00167355061650699,0.00518862861378186,0,0,0
Linear hybrid,nominal,nominal_seed_130107,7,130107,1,0.001,128,0.00024118826396049,0.000495159138377808,0.000161408437752695,0.000559389066928657,0,0,0
Linear hybrid,nominal,nominal_seed_130107,7,130107,20,0.02,128,0.000925489403521971,0.00101994459628156,0.000159685022420679,0.00246507168062055,0,0,0
Linear hybrid,nominal,nominal_seed_130107,7,130107,50,0.05,128,0.00329604911308549,0.00333938137571567,0.00135319152177315,0.0082579964398948,0,0,0
Linear hybrid,nominal,nominal_seed_130107,7,130107,100,0.1,128,0.0105157643099123,0.010482156758667,0.00696968450686938,0.0242130222593887,0,0,0
Linear hybrid,nominal,nominal_seed_130107,7,130107,250,0.25,128,0.0486330044242466,0.048628767880296,0.0427905963968935,0.0975053246636395,0,0,0
EDMD hybrid,nominal,nominal_seed_130107,7,130107,1,0.001,128,0.000240736673690046,0.000494251306624486,0.000161527668161759,0.000555038141665895,0,0,0
EDMD hybrid,nominal,nominal_seed_130107,7,130107,20,0.02,128,0.000883723165367697,0.000989329048711594,0.000158913875879524,0.00213227564988828,0,0,0
EDMD hybrid,nominal,nominal_seed_130107,7,130107,50,0.05,128,0.00312065238343755,0.00316742894521674,0.00128747987510204,0.00701544995075903,0,0,0
EDMD hybrid,nominal,nominal_seed_130107,7,130107,100,0.1,128,0.00998807776473507,0.00996068717489546,0.00660501040743423,0.0224851968402247,0,0,0
EDMD hybrid,nominal,nominal_seed_130107,7,130107,250,0.25,128,0.0467769976844197,0.0467709568939089,0.0411138195005678,0.0954407829340164,0,0,0
Nominal physics,nominal,nominal_seed_130108,8,130108,1,0.001,128,0.000130404681970576,0.000493952270229573,0.000130404681970576,0.00044150013506844,0,0,0
Nominal physics,nominal,nominal_seed_130108,8,130108,20,0.02,128,9.35063992213567e-05,0.000476354739072583,9.35063992213567e-05,0.000339155462519114,0,0,0
Nominal physics,nominal,nominal_seed_130108,8,130108,50,0.05,128,9.90278309575632e-05,0.000475462639291821,9.90278309575632e-05,0.000360233311990893,0,0,0
Nominal physics,nominal,nominal_seed_130108,8,130108,100,0.1,128,0.000101154523475773,0.000468025888053526,0.000101154523475773,0.000368303006438808,0,0,0
Nominal physics,nominal,nominal_seed_130108,8,130108,250,0.25,128,0.000101499585790466,0.000471768390554942,0.000101499585790466,0.0003696070386289,0,0,0
Persistent innovation,nominal,nominal_seed_130108,8,130108,1,0.001,128,0.000185955889547374,0.000538248891531873,0.000130500050532593,0.000749181495130091,0,0,0
Persistent innovation,nominal,nominal_seed_130108,8,130108,20,0.02,128,0.000258614218509393,0.000532118550856489,0.000123996414201502,0.000973276503415332,0,0,0
Persistent innovation,nominal,nominal_seed_130108,8,130108,50,0.05,128,0.00046575144200303,0.000640097039934127,0.000322516756381067,0.00169730061800644,0,0,0
Persistent innovation,nominal,nominal_seed_130108,8,130108,100,0.1,128,0.000825241617886901,0.000904308991435915,0.000680273244426828,0.0029381704677186,0,0,0
Persistent innovation,nominal,nominal_seed_130108,8,130108,250,0.25,128,0.0019173379300052,0.00193292700671329,0.0017718271795661,0.00668942836680681,0,0,0
Linear hybrid,nominal,nominal_seed_130108,8,130108,1,0.001,128,0.000278083324430226,0.000531038423714383,0.000193728851384885,0.000664358380927797,0,0,0
Linear hybrid,nominal,nominal_seed_130108,8,130108,20,0.02,128,0.000836572046872072,0.000953475778945929,0.00018506193263166,0.00244008122055966,0,0,0
Linear hybrid,nominal,nominal_seed_130108,8,130108,50,0.05,128,0.00278848465697769,0.00279828664487161,0.00119814590729097,0.00733109251859437,0,0,0
