Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Sample
physical_only,0.263378846071035,0.399504600964712,0.163128616785446,0,0.400651849900798,0.0143062314893103,0.0593579173126125,0.450885234468976,0,0,20221554.3224367,0.026,0,0,0,0,0.509761850262126,0.0439959553586612,0.127656385027473,45
combined_phase2b,0.25293143182874,0.390567323247944,0.143815033200004,0,0.392234625425645,0.0147245878200454,0.0593579173126125,0.450885234468976,0,0,20221554.3224367,0.0230000000000001,0,0,0,17,0.480920664071117,0.0427042415174952,0.127656385027473,45
physical_only,0.703695259731196,1.02987754695699,0.448951908814643,0,1.41242828030079,0.0593188218548354,0.0438361096839078,1.32854721172094,0,0,15981623.3992361,0.0570000000000002,0,0,0,0,0.918945685242944,0.0647187883645213,0.0924318831662231,46
combined_phase2b,0.78828160955469,1.24503339580493,0.458429232386471,0,1.43408982993599,0.0586553329276691,0.0438361096839078,1.32854721172094,0,0,15981623.3992361,0.0590000000000002,0,0,0,17,1.35922709940942,0.0647745938838095,0.0924318831662231,46
physical_only,0.00597824766729528,0.00916808790766724,0.00845019596500687,0,1.37087126767469,0.0646766054229016,0.204351818963364,1.36384149905496,34,0,9721602.9478975,2.22044604925031e-16,0,0,0,0,0.102319478220852,0.089367605326573,0.256039850551828,47
combined_phase2b,0.103497664223405,0.274701614125107,0.0167665881273364,0,1.5772639615395,0.0760485674552114,0.204351818963364,1.36384149905496,34,0,9721602.9478975,2.22044604925031e-16,0,0,0,17,0.327663317437697,0.0911704412404388,0.256039850551828,47
physical_only,0.378757088730953,0.627912743726409,0.333910031915977,0,12.5305398759134,0.594225982154697,0.271722079234707,12.3727350464156,131,0,9580062.38714799,0.11,0,0,0,0,0.738102700054169,0.616835719445052,0.336570825262559,48
combined_phase2b,1.91783135744919,4.3824508187574,0.652172117319134,0,14.8931850375351,0.708428506275406,0.271722079234707,12.3727350464156,131,0,9580062.38714799,NaN,1,0,0,17,4.34111212962411,0.72792691166648,0.336570825262559,48
physical_only,0.00564549678233168,0.0138032636533068,0.00801512771095611,0,0.44192025495058,0.0209052004262729,0.0423040681873317,0.437613970544237,0,0,13395604.0087283,2.22044604925031e-16,0,0,0,0,0.107423252884548,0.0503023020661888,0.109457882851436,49
combined_phase2b,0.0416033507567462,0.0951975280921337,0.0229739830220745,0,0.495708388993773,0.0227678420954664,0.0423040681873317,0.437613970544237,0,0,13395604.0087283,2.22044604925031e-16,0,0,0,17,0.134641562610611,0.0516108431996644,0.109457882851436,49
physical_only,3.50605582632251,5.18078302719068,2.24462208806762,0,7.21164919706556,0.313006314248566,0.254533052101768,7.02183286702812,93,0,18599856.1858377,NaN,1,0,0,0,5.29177195881999,0.303350981496026,0.321395785350106,50
combined_phase2b,3.63976461686425,5.646633073791,2.35639771245129,0,7.07856568787137,0.310477752760807,0.254533052101768,7.02183286702812,93,0,18599856.1858377,NaN,1,0,0,17,5.63298200606191,0.335673626932513,0.321395785350106,50
physical_only,0.0293113526837599,0.0435523955238155,0.0190497300136688,0,0.0778590270884687,0.00355998835154927,0.0496744073928052,0.0781493439399528,0,0,13231700.2507101,2.22044604925031e-16,0,0,0,0,0.154939546010011,0.0349648695742683,0.11774659635199,51
combined_phase2b,0.0293294109122738,0.0463480562336155,0.0210026857082047,0,0.0908267102108921,0.00396738159155229,0.0496744073928052,0.0781493439399528,0,0,13231700.2507101,2.22044604925031e-16,0,0,0,17,0.144361126544299,0.0369328218656366,0.11774659635199,51
physical_only,1.22221128028756,2.40600671173456,0.711130276205567,0,4.55260643611461,0.184656005577056,0.519393033877534,4.02261015883632,169,0,13178333.5240954,NaN,1,0,0,0,2.29800665135923,0.206319836935471,0.565606270503071,52
combined_phase2b,1.15544513104955,2.42135031006396,0.702916604013769,0,4.19788938882149,0.173700138732392,0.519393033877534,4.02261015883632,169,0,13178333.5240954,NaN,1,0,0,17,2.54380679251232,0.197494543871164,0.565606270503071,52
