time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.524,0.523598775598299,0.559785615381339,0.559785615381339,-0.0914159491222315,-0.00105881011410814,-0.0361868397830403,0,-0.00878604243386578,-0.00878604243386578,0,0,0,0,0
0.525,0.523598775598299,0.559693941540218,0.559693941540218,-0.0919367255100163,-0.00111596111811329,-0.0360951659419196,0,-0.00888067220027892,-0.00888067220027892,0,0,0,0,0
0.526,0.523598775598299,0.559601732372849,0.559601732372849,-0.092486123135875,-0.00116775327871429,-0.0360029567745503,0,-0.00897164557436671,-0.00897164557436671,0,0,0,0,0
0.527,0.523598775598299,0.559508960679048,0.559508960679048,-0.0930613173546497,-0.00121437949363624,-0.0359101850807488,0,-0.00905896760683454,-0.00905896760683454,0,0,0,0,0
0.528,0.523598775598299,0.559415602030988,0.559415602030988,-0.0936595879415083,-0.00125603108146624,-0.0358168264326896,0,-0.00914264901326504,-0.00914264901326504,0,0,0,0,0
0.529,0.523598775598299,0.559321634669264,0.559321634669264,-0.0942783181102476,-0.0012928975426878,-0.0357228590709651,0,-0.00922270585396605,-0.00922270585396605,0,0,0,0,0
0.53,0.523598775598299,0.559227039399988,0.559227039399988,-0.0949149934092881,-0.00132516633675229,-0.0356282638016894,0,-0.0092991592220948,-0.0092991592220948,0,0,0,0,0
0.531,0.523598775598299,0.559131799493062,0.559131799493062,-0.0955672005038618,-0.00135302267469429,-0.0355330238947635,0,-0.00937203494013662,-0.00937203494013662,0,0,0,0,0
0.532,0.523598775598299,0.559035900581711,0.559035900581711,-0.0962326258526265,-0.00137664932679807,-0.0354371249834119,0,-0.00944136326479739,-0.00944136326479739,0,0,0,0,0
0.533,0.523598775598299,0.55893933056339,0.55893933056339,-0.0969090542866722,-0.00139622644482369,-0.0353405549650914,0,-0.00950717860035252,-0.00950717860035252,0,0,0,0,0
0.534,0.523598775598299,0.558842079502166,0.558842079502166,-0.097594367498615,-0.00141193139830322,-0.035243303903867,0,-0.00956951922047758,-0.00956951922047758,0,0,0,0,0
0.535,0.523598775598299,0.55874413953264,0.55874413953264,-0.0982865424492122,-0.00142393862442032,-0.0351453639343413,0,-0.00962842699857466,-0.00962842699857466,0,0,0,0,0
0.536,0.523598775598299,0.558645504765513,0.558645504765513,-0.098983649698667,-0.00143241949099124,-0.035046729167214,0,-0.00968394714658229,-0.00968394714658229,0,0,0,0,0
0.537,0.523598775598299,0.558546171194845,0.558546171194845,-0.0996838516695277,-0.00143754217206643,-0.0349473955965457,0,-0.00973612796225737,-0.00973612796225737,0,0,0,0,0
0.538,0.523598775598299,0.55844613660709,0.55844613660709,-0.100385400847832,-0.00143947153567964,-0.0348473610087907,0,-0.00978502058489346,-0.00978502058489346,0,0,0,0,0
0.539,0.523598775598299,0.558345400491954,0.558345400491954,-0.101086637928884,-0.00143836904327514,-0.0347466248936552,0,-0.00983067875942879,-0.00983067875942879,0,0,0,0,0
0.54,0.523598775598299,0.558243963955136,0.558243963955136,-0.101785989913807,-0.00143439266034867,-0.0346451883568373,0,-0.00987315860889593,-0.00987315860889593,0,0,0,0,0
