PeakDM_V,PeakCM_V,PeakGround_V,AbsAreaDM_Vs,AbsAreaCM_Vs,NoiseExposure_s,ReceiverBand_s,NoiseCrossings,ReceiverCrossings,Grazing,MinimumTotalDifferential_V,MaximumTotalDifferential_V,MaximumTotalCommonMode_V,CommonModeLimitExceeded,Case,Level,MaxStep_s,RelativeTolerance,AbsoluteTolerance,Runtime_s,NativeSamples,ReferenceSamples,ReferenceDMError_V,ReferenceCMError_V,ReferenceGroundError_V,ReferenceCurrentError_A,ReferencePassed,AllFinite,WarningCount,StopEvent
1.33226762955019e-15,0.725392520125853,0.6524957050566,2.97721409754602e-21,4.17757270218256e-07,0,0,0,0,0,1.08892921960072,1.08892921960073,3.2170785942585,0,balanced_combined,1,1e-09,1e-05,1e-09,0.9417396,5993,5993,2.70894418008538e-14,4.86946878037742e-05,3.79391088358716e-05,2.24115201907793e-06,1,1,0,ReachedStopTime
6.03961325396085e-14,0.725392520126242,0.652495742259183,5.87388448847419e-21,4.17757271652064e-07,0,0,0,0,0,1.08892921960067,1.08892921960079,3.21707859425889,0,balanced_combined,2,5e-10,1e-05,1e-09,0.7262084,11222,11222,7.54951656745106e-14,4.66207634222116e-05,3.47660849513431e-05,2.14915517515735e-06,1,1,0,ReachedStopTime
5.46229728115577e-14,0.725392520127327,0.652495563796072,5.05991312692951e-21,4.17757272181886e-07,0,8.470329472543e-22,0,0,0,1.08892921960067,1.08892921960078,3.21707859425997,0,balanced_combined,3,2.5e-10,1e-05,1e-09,1.0673694,21875,21875,6.52811138479592e-14,4.22525255769912e-05,3.19602402072405e-05,1.97965497376884e-06,1,1,0,ReachedStopTime
6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,3.33066907387547e-21,4.44089209850063e-21,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,zero_coupling,1,1e-09,1e-05,1e-09,7.5708577,5008,5008,6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,2.55871712706579e-17,1,1,0,ReachedStopTime
6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,3.33066907387547e-21,4.44089209850063e-21,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,zero_coupling,2,5e-10,1e-05,1e-09,0.7755222,10271,10271,6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,2.90024081139872e-17,1,1,0,ReachedStopTime
6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,3.33066907387547e-21,4.44089209850063e-21,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,zero_coupling,3,2.5e-10,1e-05,1e-09,0.7901564,20009,20009,6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,2.6400322900022e-17,1,1,0,ReachedStopTime
0,0,4.44089209850063e-16,0,0,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,zero_source,1,1e-09,1e-05,1e-09,2.2855214,5008,5008,0,0,4.44089209850063e-16,2.28224557308199e-17,1,1,0,ReachedStopTime
0,0,0,0,0,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,zero_source,2,5e-10,1e-05,1e-09,0.7692554,10008,10008,0,0,0,1.34441069388203e-17,1,1,0,ReachedStopTime
0,0,0,0,0,0,0,0,0,0,1.08591748720053,1.08591748720053,2.51733009767258,0,zero_source,3,2.5e-10,1e-05,1e-09,0.9863251,20009,20009,0,0,0,1.2414114874959e-17,1,1,0,ReachedStopTime
0.051731025633603,0.725338507357093,0.653847138358854,5.59117805097966e-09,4.1768421012627e-07,0,0,0,0,0,-1.11357076107165,-1.03974558331918,3.18954645109522,0,logic_low,1,1e-09,1e-05,1e-09,0.7589853,5832,5832,6.690993854086e-06,4.90346835548827e-05,3.55215282065169e-05,2.29524916495194e-06,1,1,0,ReachedStopTime
