Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2DEV01_V12_COMBINED_exposed,V2DEV01,V12,COMBINED,exposed,7.411278,passed,
V2DEV02_V12_BASELINE_clean,V2DEV02,V12,BASELINE,clean,4.2411488,passed,
V2DEV02_V12_BASELINE_exposed,V2DEV02,V12,BASELINE,exposed,6.1696934,passed,
V2DEV02_V12_EM_ONLY_clean,V2DEV02,V12,EM_ONLY,clean,4.2111951,passed,
V2DEV02_V12_EM_ONLY_exposed,V2DEV02,V12,EM_ONLY,exposed,6.4080899,passed,
V2DEV02_V12_SW_ONLY_clean,V2DEV02,V12,SW_ONLY,clean,4.9212395,passed,
V2DEV02_V12_SW_ONLY_exposed,V2DEV02,V12,SW_ONLY,exposed,8.999663,passed,
V2DEV02_V12_COMBINED_clean,V2DEV02,V12,COMBINED,clean,6.6724922,passed,
V2DEV02_V12_COMBINED_exposed,V2DEV02,V12,COMBINED,exposed,9.3824705,passed,
V2DEV01_V13_BASELINE_clean,V2DEV01,V13,BASELINE,clean,7.4499151,passed,
V2DEV01_V13_BASELINE_exposed,V2DEV01,V13,BASELINE,exposed,8.9810302,passed,
V2DEV01_V13_EM_ONLY_clean,V2DEV01,V13,EM_ONLY,clean,6.1696115,passed,
V2DEV01_V13_EM_ONLY_exposed,V2DEV01,V13,EM_ONLY,exposed,7.230254,passed,
V2DEV01_V13_SW_ONLY_clean,V2DEV01,V13,SW_ONLY,clean,4.7109417,passed,
V2DEV01_V13_SW_ONLY_exposed,V2DEV01,V13,SW_ONLY,exposed,6.6275301,passed,
V2DEV01_V13_COMBINED_clean,V2DEV01,V13,COMBINED,clean,4.5928021,passed,
V2DEV01_V13_COMBINED_exposed,V2DEV01,V13,COMBINED,exposed,7.2905628,passed,
V2DEV02_V13_BASELINE_clean,V2DEV02,V13,BASELINE,clean,4.1040062,passed,
V2DEV02_V13_BASELINE_exposed,V2DEV02,V13,BASELINE,exposed,6.3363894,passed,
V2DEV02_V13_EM_ONLY_clean,V2DEV02,V13,EM_ONLY,clean,4.1399783,passed,
V2DEV02_V13_EM_ONLY_exposed,V2DEV02,V13,EM_ONLY,exposed,6.4340276,passed,
V2DEV02_V13_SW_ONLY_clean,V2DEV02,V13,SW_ONLY,clean,4.9772668,passed,
V2DEV02_V13_SW_ONLY_exposed,V2DEV02,V13,SW_ONLY,exposed,8.275275,passed,
V2DEV02_V13_COMBINED_clean,V2DEV02,V13,COMBINED,clean,6.6118898,passed,
V2DEV02_V13_COMBINED_exposed,V2DEV02,V13,COMBINED,exposed,9.2570014,passed,
V2DEV01_V14_BASELINE_clean,V2DEV01,V14,BASELINE,clean,7.2284647,passed,
V2DEV01_V14_BASELINE_exposed,V2DEV01,V14,BASELINE,exposed,8.7669626,passed,
V2DEV01_V14_EM_ONLY_clean,V2DEV01,V14,EM_ONLY,clean,6.1805906,passed,
V2DEV01_V14_EM_ONLY_exposed,V2DEV01,V14,EM_ONLY,exposed,7.1806228,passed,
V2DEV01_V14_SW_ONLY_clean,V2DEV01,V14,SW_ONLY,clean,4.8336213,passed,
V2DEV01_V14_SW_ONLY_exposed,V2DEV01,V14,SW_ONLY,exposed,6.6747997,passed,
V2DEV01_V14_COMBINED_clean,V2DEV01,V14,COMBINED,clean,4.6668453,passed,
V2DEV01_V14_COMBINED_exposed,V2DEV01,V14,COMBINED,exposed,7.3430877,passed,
V2DEV02_V14_BASELINE_clean,V2DEV02,V14,BASELINE,clean,3.9686912,passed,
