Case,Variant,MaxStep_ns,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainPass,ReferenceContinuousDomainPass,DomainAgreement,NativeStressFlag,GrazingUnresolved,Pass
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_inertial,0.125,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_transport,0.125,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_inertial,0.125,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1.69258358685091e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_transport,0.125,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_inertial,0.125,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_transport,0.125,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_inertial,0.125,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,4.73897993329836e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_transport,0.125,1,2.52060487960408e-07,1,7.37460765197484e-08,1,7.37460765197484e-08,1,7.37460765197484e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_inertial,0.125,1,2.52060487960408e-07,1,7.37460765197484e-08,1,7.37460765197484e-08,1,7.37460765197484e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_transport,0.125,1,2.52060487960408e-07,1,7.37460765197484e-08,1,7.37460765197484e-08,1,7.37460765197484e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_inertial,0.125,1,2.52060487960408e-07,1,7.37460765197484e-08,1,7.37460765197484e-08,1,7.37460765197484e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_transport,0.125,1,9.90871847192289e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_inertial,0.125,1,9.90871847192289e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_transport,0.125,1,9.90871847192289e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_inertial,0.125,1,9.90871847192289e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,4.9864406088387e-08,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_transport,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_inertial,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_transport,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_inertial,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_transport,0.5,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_inertial,0.5,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_40ns_transport,0.5,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_40ns_inertial,0.5,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,5.03284954401877e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_25ns_transport,0.5,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_25ns_inertial,0.5,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_40ns_transport,0.5,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_40ns_inertial,0.5,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,5.61587079194337e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.5,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1.97251484690777e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_transport,0.25,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_inertial,0.25,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_transport,0.25,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_inertial,0.25,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1.98120879307839e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_transport,0.25,1,5.03695807732942e-06,1,5.03695807732942e-06,1,5.03695807732942e-06,1,5.03695807732942e-06,1,1,1,1,0,0,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_inertial,0.25,1,5.03695807732942e-06,1,5.03695807732942e-06,1,5.03695807732942e-06,1,5.03695807732942e-06,1,1,1,1,0,0,1
